pixel_i,pixel_j,focus_values,x_list,y_list,w_list,k_fuzzy,conf,fnoc,A,B,C
0,0,"[0.94118, 0.64, 0.39024, 0.24615, 0.16495, 0.11679, 0.08649, 0.06639, 0.05246, 0.04244, 0.03501]","[0, 1, 2]","[0.94118, 0.64, 0.39024]","[0.47741222063284333, 0.3246390926337361, 0.19794868673342056]",0.0,0.0,0.0,0.025710000000000007,-0.3268899999999999,0.9411800000000003
0,1,"[0.94118, 0.94118, 0.64, 0.39024, 0.24615, 0.16495, 0.11679, 0.08649, 0.06639, 0.05246, 0.04244]","[0, 1, 2]","[0.94118, 0.94118, 0.64]","[0.37313468339174427, 0.37313468339174427, 0.2537306332165115]",0.49999999999999717,0.15058999999999945,0.9788275000000001,-0.15058999999999945,0.15058999999999859,0.9411800000000007
0,2,"[0.64, 0.94118, 0.94118, 0.64, 0.39024, 0.24615, 0.16495, 0.11679, 0.08649, 0.06639, 0.05246]","[0, 1, 2]","[0.64, 0.94118, 0.94118]","[0.2537306332165115, 0.37313468339174427, 0.37313468339174427]",1.4999999999999993,0.15059000000000033,0.9788274999999996,-0.15059000000000033,0.4517700000000008,0.6399999999999992
0,3,"[0.39024, 0.64, 0.94118, 0.94118, 0.64, 0.39024, 0.24615, 0.16495, 0.11679, 0.08649, 0.06639]","[0, 1, 2, 3, 4]","[0.39024, 0.64, 0.94118, 0.94118, 0.64]","[0.10984630974497549, 0.1801497494792546, 0.26492709564825756, 0.26492709564825756, 0.1801497494792546]",2.424404031661057,0.11312400171627954,0.952451362647332,-0.11312400171627954,0.5485165716771608,0.28753846874382716
0,4,"[0.24615, 0.39024, 0.64, 0.94118, 0.94118, 0.64, 0.39024, 0.24615, 0.16495, 0.11679, 0.08649]","[1, 2, 3, 4, 5]","[0.39024, 0.64, 0.94118, 0.94118, 0.64]","[0.10984630974497549, 0.1801497494792546, 0.26492709564825756, 0.26492709564825756, 0.1801497494792546]",3.4244040316610573,0.11312400171627966,0.9524513626473335,-0.11312400171627966,0.7747645751097209,-0.37410210464961346
0,5,"[0.16495, 0.24615, 0.39024, 0.64, 0.94118, 0.94118, 0.64, 0.39024, 0.24615, 0.16495, 0.11679]","[2, 3, 4, 5, 6]","[0.39024, 0.64, 0.94118, 0.94118, 0.64]","[0.10984630974497549, 0.1801497494792546, 0.26492709564825756, 0.26492709564825756, 0.1801497494792546]",4.424404031661054,0.11312400171627963,0.9524513626473294,-0.11312400171627963,1.0010125785422792,-1.261990681475614
0,6,"[0.11679, 0.16495, 0.24615, 0.39024, 0.64, 0.94118, 0.94118, 0.64, 0.39024, 0.24615, 0.16495]","[3, 4, 5, 6, 7]","[0.39024, 0.64, 0.94118, 0.94118, 0.64]","[0.10984630974497549, 0.1801497494792546, 0.26492709564825756, 0.26492709564825756, 0.1801497494792546]",5.424404031661087,0.11312400171627857,0.9524513626473299,-0.11312400171627857,1.2272605819748343,-2.3761272617341813
0,7,"[0.08649, 0.11679, 0.16495, 0.24615, 0.39024, 0.64, 0.94118, 0.94118, 0.64, 0.39024, 0.24615]","[4, 5, 6, 7, 8]","[0.39024, 0.64, 0.94118, 0.94118, 0.64]","[0.10984630974497549, 0.1801497494792546, 0.26492709564825756, 0.26492709564825756, 0.1801497494792546]",6.424404031661049,0.11312400171627882,0.9524513626473272,-0.11312400171627882,1.4535085854073861,-3.716511845425253
0,8,"[0.06639, 0.08649, 0.11679, 0.16495, 0.24615, 0.39024, 0.64, 0.94118, 0.94118, 0.64, 0.39024]","[5, 6, 7, 8, 9]","[0.39024, 0.64, 0.94118, 0.94118, 0.64]","[0.10984630974497549, 0.1801497494792546, 0.26492709564825756, 0.26492709564825756, 0.1801497494792546]",7.424404031661054,0.11312400171628041,0.9524513626473272,-0.11312400171628041,1.6797565888399686,-5.283144432549014
0,9,"[0.05246, 0.06639, 0.08649, 0.11679, 0.16495, 0.24615, 0.39024, 0.64, 0.94118, 0.94118, 0.64]","[6, 7, 8, 9, 10]","[0.39024, 0.64, 0.94118, 0.94118, 0.64]","[0.10984630974497549, 0.1801497494792546, 0.26492709564825756, 0.26492709564825756, 0.1801497494792546]",8.424404031661059,0.1131240017162803,0.9524513626473308,-0.1131240017162803,1.9060045922725286,-7.0760250231052595
0,10,"[0.04244, 0.05246, 0.06639, 0.08649, 0.11679, 0.16495, 0.24615, 0.39024, 0.64, 0.94118, 0.94118]","[8, 9, 10]","[0.64, 0.94118, 0.94118]","[0.2537306332165115, 0.37313468339174427, 0.37313468339174427]",9.499999999999986,0.15059000000000455,0.9788275000000031,-0.15059000000000455,2.8612100000000824,-12.61192000000037
