begin pst_imgsys_t (format of 2025-03-04)
N = 3510
NX = 65
NY = 54
         0 =    0    0 w = 7.193113  rhs =  -1.167680 nt =  2 +35.965565*Z[0=0,0] -35.965565*Z[66=1,1]
         1 =    1    0 w = 28.376494  rhs =  -5.512327 nt =  4 +141.882470*Z[1=1,0] -49.650556*Z[66=1,1] -35.965565*Z[65=0,1] -56.266350*Z[67=2,1]
         2 =    2    0 w = 40.012369  rhs =  -7.985956 nt =  4 +200.061844*Z[2=2,0] -87.529144*Z[67=2,1] -56.266350*Z[66=1,1] -56.266350*Z[68=3,1]
         3 =    3    0 w = 40.072620  rhs =  -7.997982 nt =  4 +200.363099*Z[3=3,0] -87.830400*Z[68=3,1] -56.266350*Z[67=2,1] -56.266350*Z[69=4,1]
         4 =    4    0 w = 40.072620  rhs =  -7.997982 nt =  4 +200.363099*Z[4=4,0] -87.830400*Z[69=4,1] -56.266350*Z[68=3,1] -56.266350*Z[70=5,1]
         5 =    5    0 w = 39.431019  rhs =  -7.869926 nt =  4 +197.155093*Z[5=5,0] -84.622393*Z[70=5,1] -56.266350*Z[69=4,1] -56.266350*Z[71=6,1]
         6 =    6    0 w = 17.092264  rhs =  -3.772540 nt =  4 +85.461319*Z[6=6,0] -21.398805*Z[71=6,1] -56.266350*Z[70=5,1]  -7.796164*Z[72=7,1]
         7 =    7    0 w = 5.848508  rhs =  -1.161257 nt =  4 +29.242541*Z[7=7,0] -12.840894*Z[72=7,1]  -7.796164*Z[71=6,1]  -8.605483*Z[73=8,1]
         8 =    8    0 w = 6.127084  rhs =  -1.222887 nt =  4 +30.635418*Z[8=8,0] -13.424452*Z[73=8,1]  -8.605483*Z[72=7,1]  -8.605483*Z[74=9,1]
         9 =    9    0 w = 6.128783  rhs =  -1.223227 nt =  4 +30.643915*Z[9=9,0] -13.432949*Z[74=9,1]  -8.605483*Z[73=8,1]  -8.605483*Z[75=10,1]
        10 =   10    0 w = 6.125874  rhs =  -1.222646 nt =  4 +30.629372*Z[10=10,0] -13.418406*Z[75=10,1]  -8.605483*Z[74=9,1]  -8.605483*Z[76=11,1]
        11 =   11    0 w = 5.640706  rhs =  -1.135490 nt =  4 +28.203532*Z[11=11,0] -12.291322*Z[76=11,1]  -8.605483*Z[75=10,1]  -7.306727*Z[77=12,1]
        12 =   12    0 w = 4.184193  rhs =  -0.854608 nt =  4 +20.920964*Z[12=12,0]  -8.924242*Z[77=12,1]  -7.306727*Z[76=11,1]  -4.689994*Z[78=13,1]
        13 =   13    0 w = 3.343395  rhs =  -0.667299 nt =  4 +16.716977*Z[13=13,0]  -7.336989*Z[78=13,1]  -4.689994*Z[77=12,1]  -4.689994*Z[79=14,1]
        14 =   14    0 w = 3.340191  rhs =  -0.666659 nt =  4 +16.700955*Z[14=14,0]  -7.320967*Z[79=14,1]  -4.689994*Z[78=13,1]  -4.689994*Z[80=15,1]
        15 =   15    0 w = 3.340191  rhs =  -0.666659 nt =  4 +16.700955*Z[15=15,0]  -7.320967*Z[80=15,1]  -4.689994*Z[79=14,1]  -4.689994*Z[81=16,1]
        16 =   16    0 w = 3.338257  rhs =  -0.666273 nt =  4 +16.691287*Z[16=16,0]  -7.311298*Z[81=16,1]  -4.689994*Z[80=15,1]  -4.689994*Z[82=17,1]
        17 =   17    0 w = 3.028338  rhs =  -0.610645 nt =  4 +15.141689*Z[17=17,0]  -6.597565*Z[82=17,1]  -4.689994*Z[81=16,1]  -3.854130*Z[83=18,1]
        18 =   18    0 w = 2.547337  rhs =  -0.512440 nt =  4 +12.736685*Z[18=18,0]  -5.568509*Z[83=18,1]  -3.854130*Z[82=17,1]  -3.314046*Z[84=19,1]
        19 =   19    0 w = 2.361132  rhs =  -0.471252 nt =  4 +11.805661*Z[19=19,0]  -5.177569*Z[84=19,1]  -3.314046*Z[83=18,1]  -3.314046*Z[85=20,1]
        20 =   20    0 w = 2.360247  rhs =  -0.471075 nt =  4 +11.801237*Z[20=20,0]  -5.173145*Z[85=20,1]  -3.314046*Z[84=19,1]  -3.314046*Z[86=21,1]
        21 =   21    0 w = 2.360247  rhs =  -0.471075 nt =  4 +11.801237*Z[21=21,0]  -5.173145*Z[86=21,1]  -3.314046*Z[85=20,1]  -3.314046*Z[87=22,1]
        22 =   22    0 w = 2.358816  rhs =  -0.470790 nt =  4 +11.794081*Z[22=22,0]  -5.165989*Z[87=22,1]  -3.314046*Z[86=21,1]  -3.314046*Z[88=23,1]
        23 =   23    0 w = 2.131709  rhs =  -0.430033 nt =  4 +10.658543*Z[23=23,0]  -4.643913*Z[88=23,1]  -3.314046*Z[87=22,1]  -2.700584*Z[89=24,1]
        24 =   24    0 w = 1.876927  rhs =  -0.375590 nt =  4  +9.384633*Z[24=24,0]  -4.114918*Z[89=24,1]  -2.700584*Z[88=23,1]  -2.569131*Z[90=25,1]
        25 =   25    0 w = 1.829961  rhs =  -0.365237 nt =  4  +9.149805*Z[25=25,0]  -4.011542*Z[90=25,1]  -2.569131*Z[89=24,1]  -2.569131*Z[91=26,1]
        26 =   26    0 w = 1.829723  rhs =  -0.365189 nt =  4  +9.148614*Z[26=26,0]  -4.010351*Z[91=26,1]  -2.569131*Z[90=25,1]  -2.569131*Z[92=27,1]
        27 =   27    0 w = 1.829723  rhs =  -0.365189 nt =  4  +9.148614*Z[27=27,0]  -4.010351*Z[92=27,1]  -2.569131*Z[91=26,1]  -2.569131*Z[93=28,1]
        28 =   28    0 w = 1.828718  rhs =  -0.364989 nt =  4  +9.143592*Z[28=28,0]  -4.005329*Z[93=28,1]  -2.569131*Z[92=27,1]  -2.569131*Z[94=29,1]
        29 =   29    0 w = 1.667301  rhs =  -0.336037 nt =  4  +8.336504*Z[29=29,0]  -3.636448*Z[94=29,1]  -2.569131*Z[93=28,1]  -2.130924*Z[95=30,1]
        30 =   30    0 w = 1.518326  rhs =  -0.303038 nt =  4  +7.591631*Z[30=30,0]  -3.329783*Z[95=30,1]  -2.130924*Z[94=29,1]  -2.130924*Z[96=31,1]
        31 =   31    0 w = 1.517634  rhs =  -0.302900 nt =  4  +7.588168*Z[31=31,0]  -3.326320*Z[96=31,1]  -2.130924*Z[95=30,1]  -2.130924*Z[97=32,1]
        32 =   32    0 w = 1.517634  rhs =  -0.302900 nt =  4  +7.588168*Z[32=32,0]  -3.326320*Z[97=32,1]  -2.130924*Z[96=31,1]  -2.130924*Z[98=33,1]
        33 =   33    0 w = 1.517559  rhs =  -0.302885 nt =  4  +7.587795*Z[33=33,0]  -3.325947*Z[98=33,1]  -2.130924*Z[97=32,1]  -2.130924*Z[99=34,1]
        34 =   34    0 w = 1.503268  rhs =  -0.300320 nt =  4  +7.516339*Z[34=34,0]  -3.292997*Z[99=34,1]  -2.130924*Z[98=33,1]  -2.092418*Z[100=35,1]
        35 =   35    0 w = 1.391393  rhs =  -0.279713 nt =  4  +6.956966*Z[35=35,0]  -3.041670*Z[100=35,1]  -2.092418*Z[99=34,1]  -1.822878*Z[101=36,1]
        36 =   36    0 w = 1.298692  rhs =  -0.259202 nt =  4  +6.493460*Z[36=36,0]  -2.847705*Z[101=36,1]  -1.822878*Z[100=35,1]  -1.822878*Z[102=37,1]
        37 =   37    0 w = 1.298245  rhs =  -0.259113 nt =  4  +6.491224*Z[37=37,0]  -2.845468*Z[102=37,1]  -1.822878*Z[101=36,1]  -1.822878*Z[103=38,1]
        38 =   38    0 w = 1.298245  rhs =  -0.259113 nt =  4  +6.491224*Z[38=38,0]  -2.845468*Z[103=38,1]  -1.822878*Z[102=37,1]  -1.822878*Z[104=39,1]
        39 =   39    0 w = 1.298164  rhs =  -0.259097 nt =  4  +6.490819*Z[39=39,0]  -2.845064*Z[104=39,1]  -1.822878*Z[103=38,1]  -1.822878*Z[105=40,1]
        40 =   40    0 w = 1.283019  rhs =  -0.256383 nt =  4  +6.415096*Z[40=40,0]  -2.810848*Z[105=40,1]  -1.822878*Z[104=39,1]  -1.781371*Z[106=41,1]
        41 =   41    0 w = 1.206194  rhs =  -0.242021 nt =  4  +6.030971*Z[41=41,0]  -2.640091*Z[106=41,1]  -1.781371*Z[105=40,1]  -1.609510*Z[107=42,1]
        42 =   42    0 w = 1.146581  rhs =  -0.228843 nt =  4  +5.732905*Z[42=42,0]  -2.513885*Z[107=42,1]  -1.609510*Z[106=41,1]  -1.609510*Z[108=43,1]
        43 =   43    0 w = 1.146285  rhs =  -0.228784 nt =  4  +5.731426*Z[43=43,0]  -2.512406*Z[108=43,1]  -1.609510*Z[107=42,1]  -1.609510*Z[109=44,1]
        44 =   44    0 w = 1.146285  rhs =  -0.228784 nt =  4  +5.731426*Z[44=44,0]  -2.512406*Z[109=44,1]  -1.609510*Z[108=43,1]  -1.609510*Z[110=45,1]
        45 =   45    0 w = 1.146208  rhs =  -0.228768 nt =  4  +5.731040*Z[45=45,0]  -2.512020*Z[110=45,1]  -1.609510*Z[109=44,1]  -1.609510*Z[111=46,1]
        46 =   46    0 w = 1.131846  rhs =  -0.226197 nt =  4  +5.659232*Z[46=46,0]  -2.479780*Z[111=46,1]  -1.609510*Z[110=45,1]  -1.569942*Z[112=47,1]
        47 =   47    0 w = 1.071734  rhs =  -0.214858 nt =  4  +5.358670*Z[47=47,0]  -2.346810*Z[112=47,1]  -1.569942*Z[111=46,1]  -1.441918*Z[113=48,1]
        48 =   48    0 w = 1.027151  rhs =  -0.205006 nt =  4  +5.135756*Z[48=48,0]  -2.251919*Z[113=48,1]  -1.441918*Z[112=47,1]  -1.441918*Z[114=49,1]
        49 =   49    0 w = 1.026927  rhs =  -0.204962 nt =  4  +5.134636*Z[49=49,0]  -2.250799*Z[114=49,1]  -1.441918*Z[113=48,1]  -1.441918*Z[115=50,1]
        50 =   50    0 w = 1.026927  rhs =  -0.204962 nt =  4  +5.134636*Z[50=50,0]  -2.250799*Z[115=50,1]  -1.441918*Z[114=49,1]  -1.441918*Z[116=51,1]
        51 =   51    0 w = 1.026881  rhs =  -0.204952 nt =  4  +5.134403*Z[51=51,0]  -2.250567*Z[116=51,1]  -1.441918*Z[115=50,1]  -1.441918*Z[117=52,1]
        52 =   52    0 w = 1.018114  rhs =  -0.203382 nt =  4  +5.090572*Z[52=52,0]  -2.230799*Z[117=52,1]  -1.441918*Z[116=51,1]  -1.417855*Z[118=53,1]
        53 =   53    0 w = 0.972964  rhs =  -0.194950 nt =  4  +4.864821*Z[53=53,0]  -2.130978*Z[118=53,1]  -1.417855*Z[117=52,1]  -1.315988*Z[119=54,1]
        54 =   54    0 w = 0.937421  rhs =  -0.187097 nt =  4  +4.687103*Z[54=54,0]  -2.055126*Z[119=54,1]  -1.315988*Z[118=53,1]  -1.315988*Z[120=55,1]
        55 =   55    0 w = 0.937240  rhs =  -0.187061 nt =  4  +4.686202*Z[55=55,0]  -2.054226*Z[120=55,1]  -1.315988*Z[119=54,1]  -1.315988*Z[121=56,1]
        56 =   56    0 w = 0.937399  rhs =  -0.187093 nt =  4  +4.686994*Z[56=56,0]  -2.055017*Z[121=56,1]  -1.315988*Z[120=55,1]  -1.315988*Z[122=57,1]
        57 =   57    0 w = 0.967980  rhs =  -0.192535 nt =  4  +4.839898*Z[57=57,0]  -2.119207*Z[122=57,1]  -1.315988*Z[121=56,1]  -1.404703*Z[123=58,1]
        58 =   58    0 w = 0.928966  rhs =  -0.186855 nt =  4  +4.644828*Z[58=58,0]  -2.029352*Z[123=58,1]  -1.404703*Z[122=57,1]  -1.210773*Z[124=59,1]
        59 =   59    0 w = 0.862625  rhs =  -0.172169 nt =  4  +4.313125*Z[59=59,0]  -1.891579*Z[124=59,1]  -1.210773*Z[123=58,1]  -1.210773*Z[125=60,1]
        60 =   60    0 w = 0.862306  rhs =  -0.172105 nt =  4  +4.311532*Z[60=60,0]  -1.889987*Z[125=60,1]  -1.210773*Z[124=59,1]  -1.210773*Z[126=61,1]
        61 =   61    0 w = 0.862306  rhs =  -0.172105 nt =  4  +4.311532*Z[61=61,0]  -1.889987*Z[126=61,1]  -1.210773*Z[125=60,1]  -1.210773*Z[127=62,1]
        62 =   62    0 w = 0.862942  rhs =  -0.172232 nt =  4  +4.314711*Z[62=62,0]  -1.893165*Z[127=62,1]  -1.210773*Z[126=61,1]  -1.210773*Z[128=63,1]
        63 =   63    0 w = 0.806677  rhs =  -0.157574 nt =  4  +4.033383*Z[63=63,0]  -1.151762*Z[128=63,1]  -1.210773*Z[127=62,1]  -1.670848*Z[129=64,1]
        64 =   64    0 w = 0.334170  rhs =  -0.079145 nt =  2  +1.670848*Z[64=64,0]  -1.670848*Z[128=63,1]
        65 =    0    1 w = 22.830431  rhs =  +0.657585 nt =  4 +114.152155*Z[65=0,1] -37.387503*Z[66=1,1] -35.965565*Z[1=1,0] -40.799088*Z[131=1,2]
        66 =    1    1 w = 40.424956  rhs =  -0.113300 nt =  5 +202.124778*Z[66=1,1] -37.387503*Z[65=0,1] -58.632338*Z[67=2,1] -49.650556*Z[1=1,0] -56.454382*Z[131=1,2]
        67 =    2    1 w = 60.870205  rhs =  -0.480129 nt =  5 +304.351026*Z[67=2,1] -58.632338*Z[66=1,1] -58.632338*Z[68=3,1] -87.529144*Z[2=2,0] -99.557205*Z[132=2,2]
        68 =    3    1 w = 60.999498  rhs =  -0.481884 nt =  5 +304.997491*Z[68=3,1] -58.632338*Z[67=2,1] -58.632338*Z[69=4,1] -87.830400*Z[3=3,0] -99.902415*Z[133=3,2]
        69 =    4    1 w = 60.999498  rhs =  -0.481884 nt =  5 +304.997491*Z[69=4,1] -58.632338*Z[68=3,1] -58.632338*Z[70=5,1] -87.830400*Z[4=4,0] -99.902415*Z[134=4,2]
        70 =    5    1 w = 59.603268  rhs =  -0.459325 nt =  5 +298.016342*Z[70=5,1] -58.632338*Z[69=4,1] -58.632338*Z[71=6,1] -84.622393*Z[5=5,0] -96.129273*Z[135=5,2]
        71 =    6    1 w = 22.329013  rhs =  -0.470054 nt =  5 +111.645065*Z[71=6,1] -58.632338*Z[70=5,1]  -7.907542*Z[72=7,1] -21.398805*Z[6=6,0] -23.706379*Z[136=6,2]
        72 =    7    1 w = 8.739959  rhs =  -0.047812 nt =  5 +43.699796*Z[72=7,1]  -7.907542*Z[71=6,1]  -8.754578*Z[73=8,1] -12.840894*Z[7=7,0] -14.196781*Z[137=7,2]
        73 =    8    1 w = 9.160124  rhs =  -0.057583 nt =  5 +45.800618*Z[73=8,1]  -8.754578*Z[72=7,1]  -8.754578*Z[74=9,1] -13.424452*Z[8=8,0] -14.867010*Z[138=8,2]
        74 =    9    1 w = 9.163772  rhs =  -0.057633 nt =  5 +45.818859*Z[74=9,1]  -8.754578*Z[73=8,1]  -8.754578*Z[75=10,1] -13.432949*Z[9=9,0] -14.876754*Z[139=9,2]
        75 =   10    1 w = 9.157520  rhs =  -0.057546 nt =  5 +45.787601*Z[75=10,1]  -8.754578*Z[74=9,1]  -8.754578*Z[76=11,1] -13.418406*Z[10=10,0] -14.860039*Z[140=10,2]
        76 =   11    1 w = 8.401714  rhs =  -0.061065 nt =  5 +42.008570*Z[76=11,1]  -8.754578*Z[75=10,1]  -7.395288*Z[77=12,1] -12.291322*Z[11=11,0] -13.567382*Z[141=11,2]
        77 =   12    1 w = 6.135188  rhs =  -0.051376 nt =  5 +30.675941*Z[77=12,1]  -7.395288*Z[76=11,1]  -4.656353*Z[78=13,1]  -8.924242*Z[12=12,0]  -9.700057*Z[142=12,2]
        78 =   13    1 w = 4.911850  rhs =  -0.022855 nt =  5 +24.559251*Z[78=13,1]  -4.656353*Z[77=12,1]  -4.656353*Z[79=14,1]  -7.336989*Z[13=13,0]  -7.909556*Z[143=13,2]
        79 =   14    1 w = 4.905061  rhs =  -0.022779 nt =  5 +24.525303*Z[79=14,1]  -4.656353*Z[78=13,1]  -4.656353*Z[80=15,1]  -7.320967*Z[14=14,0]  -7.891631*Z[144=14,2]
        80 =   15    1 w = 4.905061  rhs =  -0.022779 nt =  5 +24.525303*Z[80=15,1]  -4.656353*Z[79=14,1]  -4.656353*Z[81=16,1]  -7.320967*Z[15=15,0]  -7.891631*Z[145=15,2]
        81 =   16    1 w = 4.900888  rhs =  -0.022719 nt =  5 +24.504440*Z[81=16,1]  -4.656353*Z[80=15,1]  -4.656353*Z[82=17,1]  -7.311298*Z[16=16,0]  -7.880436*Z[146=16,2]
        82 =   17    1 w = 4.419011  rhs =  -0.024973 nt =  5 +22.095057*Z[82=17,1]  -4.656353*Z[81=16,1]  -3.781302*Z[83=18,1]  -6.597565*Z[17=17,0]  -7.059837*Z[147=17,2]
        83 =   18    1 w = 3.690273  rhs =  -0.016877 nt =  5 +18.451366*Z[83=18,1]  -3.781302*Z[82=17,1]  -3.215812*Z[84=19,1]  -5.568509*Z[18=18,0]  -5.885743*Z[148=18,2]
        84 =   19    1 w = 3.410233  rhs =  -0.010554 nt =  5 +17.051165*Z[84=19,1]  -3.215812*Z[83=18,1]  -3.215812*Z[85=20,1]  -5.177569*Z[19=19,0]  -5.441972*Z[149=19,2]
        85 =   20    1 w = 3.408349  rhs =  -0.010532 nt =  5 +17.041746*Z[85=20,1]  -3.215812*Z[84=19,1]  -3.215812*Z[86=21,1]  -5.173145*Z[20=20,0]  -5.436977*Z[150=20,2]
        86 =   21    1 w = 3.408349  rhs =  -0.010532 nt =  5 +17.041746*Z[86=21,1]  -3.215812*Z[85=20,1]  -3.215812*Z[87=22,1]  -5.173145*Z[21=21,0]  -5.436977*Z[151=21,2]
        87 =   22    1 w = 3.405250  rhs =  -0.010484 nt =  5 +17.026248*Z[87=22,1]  -3.215812*Z[86=21,1]  -3.215812*Z[88=23,1]  -5.165989*Z[22=22,0]  -5.428635*Z[152=22,2]
        88 =   23    1 w = 3.051950  rhs =  -0.012082 nt =  5 +15.259748*Z[88=23,1]  -3.215812*Z[87=22,1]  -2.573348*Z[89=24,1]  -4.643913*Z[23=23,0]  -4.826674*Z[153=23,2]
        89 =   24    1 w = 2.670209  rhs =  -0.005493 nt =  5 +13.351044*Z[89=24,1]  -2.573348*Z[88=23,1]  -2.435663*Z[90=25,1]  -4.114918*Z[24=24,0]  -4.227115*Z[154=24,2]
        90 =   25    1 w = 2.598457  rhs =  -0.003924 nt =  5 +12.992283*Z[90=25,1]  -2.435663*Z[89=24,1]  -2.435654*Z[91=26,1]  -4.011542*Z[25=25,0]  -4.109423*Z[155=25,2]
        91 =   26    1 w = 2.597945  rhs =  -0.003898 nt =  5 +12.989727*Z[91=26,1]  -2.435654*Z[90=25,1]  -2.435652*Z[92=27,1]  -4.010351*Z[26=26,0]  -4.108070*Z[156=26,2]
        92 =   27    1 w = 2.597945  rhs =  -0.003896 nt =  5 +12.989725*Z[92=27,1]  -2.435652*Z[91=26,1]  -2.435651*Z[93=28,1]  -4.010351*Z[27=27,0]  -4.108070*Z[157=27,2]
        93 =   28    1 w = 2.595765  rhs =  -0.003862 nt =  5 +12.978823*Z[93=28,1]  -2.435651*Z[92=27,1]  -2.435651*Z[94=29,1]  -4.005329*Z[28=28,0]  -4.102192*Z[158=28,2]
        94 =   29    1 w = 2.344940  rhs =  -0.005010 nt =  5 +11.724702*Z[94=29,1]  -2.435651*Z[93=28,1]  -1.976509*Z[95=30,1]  -3.636448*Z[29=29,0]  -3.676094*Z[159=29,2]
        95 =   30    1 w = 2.122597  rhs =  -0.000016 nt =  5 +10.612986*Z[95=30,1]  -1.976509*Z[94=29,1]  -1.976509*Z[96=31,1]  -3.329783*Z[30=30,0]  -3.330185*Z[160=30,2]
        96 =   31    1 w = 2.121132  rhs =  +0.000000 nt =  5 +10.605659*Z[96=31,1]  -1.976509*Z[95=30,1]  -1.976509*Z[97=32,1]  -3.326320*Z[31=31,0]  -3.326320*Z[161=31,2]
        97 =   32    1 w = 2.121132  rhs =  +0.000000 nt =  5 +10.605659*Z[97=32,1]  -1.976509*Z[96=31,1]  -1.976509*Z[98=33,1]  -3.326320*Z[32=32,0]  -3.326320*Z[162=32,2]
        98 =   33    1 w = 2.120972  rhs =  +0.000002 nt =  5 +10.604858*Z[98=33,1]  -1.976509*Z[97=32,1]  -1.976509*Z[99=34,1]  -3.325947*Z[33=33,0]  -3.325893*Z[163=33,2]
        99 =   34    1 w = 2.098753  rhs =  -0.000106 nt =  5 +10.493766*Z[99=34,1]  -1.976509*Z[98=33,1]  -1.936153*Z[100=35,1]  -3.292997*Z[34=34,0]  -3.288107*Z[164=34,2]
       100 =   35    1 w = 1.925959  rhs =  -0.000378 nt =  5  +9.629796*Z[100=35,1]  -1.936153*Z[99=34,1]  -1.653583*Z[101=36,1]  -3.041670*Z[35=35,0]  -2.998390*Z[165=35,2]
       101 =   36    1 w = 1.786830  rhs =  +0.002734 nt =  5  +8.934148*Z[101=36,1]  -1.653583*Z[100=35,1]  -1.653584*Z[102=37,1]  -2.847705*Z[36=36,0]  -2.779276*Z[166=36,2]
       102 =   37    1 w = 1.785882  rhs =  +0.002740 nt =  5  +8.929410*Z[102=37,1]  -1.653584*Z[101=36,1]  -1.653583*Z[103=38,1]  -2.845468*Z[37=37,0]  -2.776775*Z[167=37,2]
       103 =   38    1 w = 1.785882  rhs =  +0.002741 nt =  5  +8.929410*Z[103=38,1]  -1.653583*Z[102=37,1]  -1.653584*Z[104=39,1]  -2.845468*Z[38=38,0]  -2.776775*Z[168=38,2]
       104 =   39    1 w = 1.785708  rhs =  +0.002745 nt =  5  +8.928542*Z[104=39,1]  -1.653584*Z[103=38,1]  -1.653583*Z[105=40,1]  -2.845064*Z[39=39,0]  -2.776311*Z[169=39,2]
       105 =   40    1 w = 1.762315  rhs =  +0.002620 nt =  5  +8.811574*Z[105=40,1]  -1.653583*Z[104=39,1]  -1.610056*Z[106=41,1]  -2.810848*Z[40=40,0]  -2.737086*Z[170=40,2]
       106 =   41    1 w = 1.644106  rhs =  +0.002628 nt =  5  +8.220529*Z[106=41,1]  -1.610056*Z[105=40,1]  -1.429782*Z[107=42,1]  -2.640091*Z[41=41,0]  -2.540600*Z[171=41,2]
       107 =   42    1 w = 1.554248  rhs =  +0.004634 nt =  5  +7.771240*Z[107=42,1]  -1.429782*Z[106=41,1]  -1.429782*Z[108=43,1]  -2.513885*Z[42=42,0]  -2.397791*Z[172=42,2]
       108 =   43    1 w = 1.553621  rhs =  +0.004641 nt =  5  +7.768103*Z[108=43,1]  -1.429782*Z[107=42,1]  -1.429782*Z[109=44,1]  -2.512406*Z[43=43,0]  -2.396132*Z[173=43,2]
       109 =   44    1 w = 1.553621  rhs =  +0.004641 nt =  5  +7.768103*Z[109=44,1]  -1.429782*Z[108=43,1]  -1.429782*Z[110=45,1]  -2.512406*Z[44=44,0]  -2.396132*Z[174=44,2]
       110 =   45    1 w = 1.553455  rhs =  +0.004644 nt =  5  +7.767273*Z[110=45,1]  -1.429782*Z[109=44,1]  -1.429782*Z[111=46,1]  -2.512020*Z[45=45,0]  -2.395689*Z[175=45,2]
       111 =   46    1 w = 1.531309  rhs =  +0.004523 nt =  5  +7.656547*Z[111=46,1]  -1.429782*Z[110=45,1]  -1.388264*Z[112=47,1]  -2.479780*Z[46=46,0]  -2.358721*Z[176=46,2]
       112 =   47    1 w = 1.438958  rhs =  +0.004626 nt =  5  +7.194789*Z[112=47,1]  -1.388264*Z[111=46,1]  -1.253888*Z[113=48,1]  -2.346810*Z[47=47,0]  -2.205827*Z[177=47,2]
       113 =   48    1 w = 1.371621  rhs =  +0.006129 nt =  5  +6.858107*Z[113=48,1]  -1.253888*Z[112=47,1]  -1.253891*Z[114=49,1]  -2.251919*Z[48=48,0]  -2.098410*Z[178=48,2]
       114 =   49    1 w = 1.371146  rhs =  +0.006132 nt =  5  +6.855729*Z[114=49,1]  -1.253891*Z[113=48,1]  -1.253886*Z[115=50,1]  -2.250799*Z[49=49,0]  -2.097153*Z[179=49,2]
       115 =   50    1 w = 1.371145  rhs =  +0.006133 nt =  5  +6.855727*Z[115=50,1]  -1.253886*Z[114=49,1]  -1.253888*Z[116=51,1]  -2.250799*Z[50=50,0]  -2.097153*Z[180=50,2]
       116 =   51    1 w = 1.371046  rhs =  +0.006134 nt =  5  +6.855228*Z[116=51,1]  -1.253888*Z[115=50,1]  -1.253888*Z[117=52,1]  -2.250567*Z[51=51,0]  -2.096886*Z[181=51,2]
       117 =   52    1 w = 1.357507  rhs =  +0.006063 nt =  5  +6.787536*Z[117=52,1]  -1.253888*Z[116=51,1]  -1.228622*Z[118=53,1]  -2.230799*Z[52=52,0]  -2.074227*Z[182=52,2]
       118 =   53    1 w = 1.288124  rhs =  +0.006052 nt =  5  +6.440621*Z[118=53,1]  -1.228622*Z[117=52,1]  -1.121631*Z[119=54,1]  -2.130978*Z[53=53,0]  -1.959390*Z[183=53,2]
       119 =   54    1 w = 1.234379  rhs =  +0.007250 nt =  5  +6.171897*Z[119=54,1]  -1.121631*Z[118=53,1]  -1.121631*Z[120=55,1]  -2.055126*Z[54=54,0]  -1.873508*Z[184=54,2]
       120 =   55    1 w = 1.233997  rhs =  +0.007254 nt =  5  +6.169986*Z[120=55,1]  -1.121631*Z[119=54,1]  -1.121631*Z[121=56,1]  -2.054226*Z[55=55,0]  -1.872498*Z[185=55,2]
       121 =   56    1 w = 1.234334  rhs =  +0.007250 nt =  5  +6.171668*Z[121=56,1]  -1.121631*Z[120=55,1]  -1.121631*Z[122=57,1]  -2.055017*Z[56=56,0]  -1.873388*Z[186=56,2]
